frame,price,supplier
11141075,4.37,roma
11152000,2.79,roma
11152009,2.79,roma
11260001,2.69,roma
11260009,2.69,roma
11291001,4.15,roma
11291009,4.15,roma
11550001,4.23,roma
11550061,4.87,roma
11550062,4.87,roma
11550067,4.36,roma
11801045,2.51,roma
11801048,2.51,roma
11901045,5.33,roma
11901048,5.33,roma
12022000,5.4,roma
12054000,5.84,roma
12054009,5.84,roma
12054067,5.84,roma
12054069,5.84,roma
12122000,6.55,roma
12316000,1.98,roma
12316009,1.98,roma
12316011,2.22,roma
12316054,2.27,roma
12316063,2.27,roma
12316302,2.27,roma
12316303,2.27,roma
12316308,2.04,roma
12731000,1.17,roma
12731009,1.17,roma
12731010,1.82,roma
12731038,1.82,roma
12731039,1.82,roma
12731041,1.82,roma
12731045,1.32,roma
12731048,1.32,roma
12731054,1.53,roma
12731061,1.53,roma
12731062,1.53,roma
12731063,1.53,roma
12731067,1.82,roma
12731069,1.19,roma
12731083,1.82,roma
12731085,1.82,roma
12731087,1.19,roma
12731098,1.82,roma
12741001,1.3,roma
12741009,1.3,roma
12741010,2.65,roma
12741032,1.64,roma
12741037,1.45,roma
12741038,1.45,roma
12741039,1.45,roma
12741041,1.45,roma
12741042,1.64,roma
12741045,1.66,roma
12741048,1.64,roma
12741050,1.64,roma
12741061,1.81,roma
12741062,1.81,roma
12741063,1.81,roma
12741067,1.45,roma
12741069,1.45,roma
12741074,1.64,roma
12741076,1.64,roma
12741079,2.65,roma
12741083,1.45,roma
12741085,1.45,roma
12741087,1.45,roma
12741098,1.45,roma
12741300,3.62,roma
12741302,3.62,roma
12741308,3.62,roma
12781000,2.34,roma
12781045,2.5,roma
12891000,4.49,roma
13420001,1.39,roma
13420009,1.39,roma
13420011,1.68,roma
13420054,1.68,roma
13420067,1.6,roma
13420069,1.6,roma
13420085,1.6,roma
13420302,1.74,roma
13420303,1.74,roma
13420308,1.55,roma
13530001,1.8,roma
13530009,1.8,roma
13530067,2.14,roma
13530069,2.12,roma
13530085,2.03,roma
13645001,3.07,roma
13645067,3.12,roma
13645069,3.12,roma
13645085,3.12,roma
13833001,1.83,roma
13833009,1.83,roma
13833061,2.18,roma
13833063,2.18,roma
13945001,2.77,roma
13945009,2.77,roma
13945061,3.12,roma
13945063,3.12,roma
14044001,3.13,roma
14044009,3.13,roma
14044061,3.35,roma
14044063,3.35,roma
14170001,5.41,roma
14170063,5.41,roma
14211031,2.01,roma
14211043,2.01,roma
